,Actual
1,0.1
2,0.0
3,0.4
4,0.6
5,0.2
6,0.2
7,0.1
8,0.4
9,0.1
10,0.4
11,0.5
12,-0.1
14,0.1
15,0.4
16,0.1
17,0.0
18,1.3
19,1.0
20,0.3
21,1.2
22,0.8
23,0.6
24,0.5
25,0.8
26,0.8999999999999999
27,0.4
28,0.3
29,0.5
30,0.8999999999999999
31,0.6
32,0.8
33,0.6
34,0.4
35,0.3
36,0.4
37,0.2
38,0.0
39,0.2
40,0.4
41,0.6
42,0.6
43,-0.1
44,-0.8
45,-0.4
46,0.1
47,0.1
48,0.2
49,0.3
50,0.4
51,0.0
52,0.1
53,0.3
54,0.1
55,0.1
56,0.3
57,0.4
58,0.2
61,0.0
62,-0.1
63,0.3
64,0.1
65,0.2
66,0.2
67,0.1
68,0.2
69,0.2
70,-0.1
71,0.2
72,0.5
73,0.1
74,0.4
75,0.1
76,0.5
77,0.4
78,0.1
79,0.0
80,-0.1
81,0.2
82,-0.3
83,0.1
84,0.6
85,0.3
86,0.2
87,0.4
88,0.3
89,0.2
90,0.0
91,0.2
92,0.2
93,0.4
94,0.1
95,-0.2
96,0.0
97,-0.1
98,0.0
99,0.2
100,-0.2
101,-0.1
102,0.1
103,0.3
104,0.4
105,0.1
108,0.2
109,0.2
110,-0.4
111,-0.3
112,0.0
113,0.1
114,-0.2
115,0.1
116,0.3
117,0.4
118,0.3
119,0.2
120,0.1
121,0.1
122,0.3
123,0.0
124,-0.1
125,0.2
126,0.1
127,0.2
128,0.5
129,0.1
130,-0.4
131,-0.2
132,0.7000000000000001
133,0.0
134,0.0
135,-0.3
136,0.1
137,0.6
138,0.6
139,0.0
140,0.0
141,-0.3
142,0.0
143,0.3
144,0.4
145,0.2
146,0.0
147,0.0
148,-0.1
149,0.3
150,0.4
151,0.5
152,-0.2
155,0.2
156,0.4
157,0.5
158,0.4
159,0.5
160,0.1
161,0.2
162,0.1
163,0.3
164,0.3
165,-0.1
166,-0.2
167,-0.1
168,0.1
169,0.0
170,0.2
171,0.1
172,0.4
173,0.3
174,0.2
175,0.4
176,0.0
177,0.7000000000000001
178,0.1
179,0.0
180,-0.1
181,0.4
182,0.3
183,-0.7000000000000001
184,-1.7000000000000002
185,-1.0
186,0.0
187,-0.1
188,0.8
189,1.0999999999999999
190,0.6
191,0.2
192,0.3
193,0.0
194,0.3
195,0.3
196,0.8
197,0.3
198,0.4
199,0.0
202,0.2
203,0.2
204,0.3
205,0.5
206,0.4
207,0.2
208,0.5
209,0.0
210,-0.4
211,-0.5
212,0.4
213,0.5
214,0.2
215,0.3
216,0.5
217,0.2
218,0.1
219,0.6
220,0.0
221,-0.5
222,0.2
223,1.4000000000000001
224,0.6
225,0.6
226,0.1
227,-0.1
228,0.3
229,0.4
230,0.4
231,-0.1
232,0.0
233,0.5
234,0.5
235,0.3
236,0.1
237,0.1
238,0.4
239,0.4
240,0.2
241,0.2
242,0.2
243,0.4
244,0.3
245,0.1
246,-0.1
249,0.3
250,0.4
251,0.1
252,-0.2
253,-0.4
254,0.2
255,0.5
256,0.4
257,0.2
258,0.2
259,0.2
260,0.2
261,0.3
262,0.2
263,0.1
264,0.1
265,0.4
266,0.3
267,0.2
268,0.2
269,-0.1
270,-0.1
271,-0.3
272,0.4
273,0.0
274,-0.2
275,0.2
276,0.5
277,0.2
278,0.1
279,0.2
280,0.6
281,0.2
282,0.2
283,0.2
284,0.5
285,0.0
286,0.3
287,0.6
288,0.2
289,-0.1
290,0.6
291,0.4
292,0.3
293,0.2
296,0.2
297,0.2
298,0.2
299,0.4
300,0.0
301,0.1
302,0.7000000000000001
303,0.1
304,0.0
305,0.2
306,0.2
307,0.1
308,0.2
309,0.1
310,0.1
311,0.2
312,0.1
313,0.2
314,0.1
315,0.0
316,0.0
317,0.1
318,0.1
319,0.1
320,0.2
321,0.2
322,0.2
323,0.1
324,0.2
325,0.0
326,0.1
327,0.1
328,0.2
329,0.2
330,0.3
331,0.3
332,0.3
333,0.3
334,0.1
335,0.2
336,0.2
337,0.2
338,0.4
339,0.3
340,0.2
343,0.5
344,0.1
345,0.3
346,0.1
347,0.2
348,0.1
349,0.2
350,0.2
351,0.4
352,0.2
353,0.3
354,0.3
355,0.2
356,0.3
357,0.1
358,0.2
359,0.4
360,0.3
361,0.3
362,0.2
363,0.1
364,0.3
365,0.3
366,0.0
367,0.2
368,0.3
369,0.4
370,0.1
371,0.2
372,0.1
373,0.1
374,0.3
375,0.3
376,0.1
377,0.2
378,0.4
379,0.1
380,0.3
381,0.4
382,0.2
383,0.2
384,0.3
385,0.3
386,0.2
387,0.2
390,0.4
391,0.2
392,0.3
393,0.4
394,0.1
395,0.3
396,0.3
397,0.1
398,0.3
399,0.4
400,0.2
401,0.0
402,0.1
403,0.4
404,0.4
405,0.2
406,0.7000000000000001
407,0.7000000000000001
408,0.8
409,0.5
410,0.6
411,0.2
412,0.2
413,0.5
414,0.4
415,1.0
416,0.3
417,0.4
418,0.5
419,0.2
420,0.0
421,0.3
422,0.3
423,0.5
424,0.7000000000000001
425,0.5
426,0.3
427,0.4
428,0.3
429,0.3
430,0.3
431,0.4
432,0.4
433,0.4
434,0.4
437,0.3
438,0.6
439,0.2
440,0.3
441,0.2
442,0.3
443,0.3
444,0.3
445,0.4
446,0.3
447,0.4
448,0.3
449,0.4
450,0.4
451,0.4
452,0.5
453,0.4
454,0.2
455,0.2
456,0.4
457,0.1
458,0.1
459,0.4
460,0.3
461,-0.4
462,-0.5
463,-0.2
464,0.4
465,0.5
466,0.5
467,0.4
468,0.2
469,0.2
470,0.2
471,0.3
472,0.2
473,0.2
474,0.5
475,0.6
476,0.2
477,0.2
478,0.2
479,0.4
480,0.3
481,0.3
484,0.4
485,0.2
486,0.4
487,0.3
488,0.5
489,0.7000000000000001
490,0.3
491,0.3
492,0.4
493,0.3
494,0.3
495,0.4
496,0.2
497,0.4
498,0.7000000000000001
499,0.1
500,0.1
501,0.2
502,-0.3
503,-0.1
504,0.4
505,0.0
506,0.2
507,0.5
508,1.0999999999999999
509,0.8999999999999999
510,0.3
511,0.0
512,0.3
513,0.3
514,0.3
515,0.4
516,0.3
517,1.0
518,0.8
519,1.0999999999999999
520,0.8999999999999999
521,0.7000000000000001
522,0.6
523,0.7000000000000001
524,0.8999999999999999
525,0.8999999999999999
526,0.8999999999999999
527,1.0999999999999999
528,1.0
531,0.8
532,0.7000000000000001
533,1.0
534,1.0
535,1.0
536,1.4000000000000001
537,1.3
538,1.4000000000000001
539,1.2
540,1.0999999999999999
541,1.0999999999999999
542,0.8999999999999999
543,1.0
544,1.0999999999999999
545,1.0999999999999999
546,1.0999999999999999
547,1.0
548,1.0
549,1.0
550,0.8999999999999999
551,0.6
552,0.6
553,0.8999999999999999
554,0.8999999999999999
555,0.6
556,0.8
557,0.8
558,0.8999999999999999
559,0.8
560,0.6
561,0.5
562,0.6
563,0.5
564,0.6
565,0.5
566,0.3
567,0.5
568,0.5
569,0.5
570,0.3
571,0.7000000000000001
572,0.5
573,1.0
574,0.5
575,0.5
578,0.3
579,0.5
580,0.5
581,0.5
582,0.5
583,0.5
584,0.2
585,0.2
586,0.2
587,0.4
588,0.5
589,0.7000000000000001
590,0.5
591,0.7000000000000001
592,0.4
593,0.8999999999999999
594,0.8
595,0.2
596,0.4
597,0.4
598,0.6
599,0.8
600,0.8
601,1.0
602,0.8
603,1.4000000000000001
604,1.2
605,0.6
606,0.8
607,1.0
608,0.6
609,1.0999999999999999
610,1.0999999999999999
611,1.0999999999999999
612,0.8999999999999999
613,0.7000000000000001
614,0.8999999999999999
615,0.4
616,1.7999999999999998
617,0.0
618,0.7000000000000001
619,0.5
620,0.7000000000000001
621,0.8999999999999999
622,0.7000000000000001
625,0.5
626,0.2
627,0.2
628,0.5
629,0.2
630,0.2
631,0.2
632,0.2
633,0.2
634,0.0
635,0.5
636,0.2
637,0.2
638,0.2
639,0.2
640,0.2
641,0.2
642,0.2
643,0.5
644,0.5
645,0.2
646,0.3
647,0.0
648,0.3
649,0.5
650,0.5
651,0.5
652,0.5
653,0.3
654,0.3
655,0.5
656,0.3
657,0.5
658,0.5
659,0.5
660,0.5
661,0.5
